11,12,24,33,38,46
11,18,25,36,39,49
7,18,32,37,41,44
4,8,21,25,43,46
6,10,25,26,34,40
2,3,8,16,20,47
7,18,19,30,36,48
2,6,7,31,35,39
3,11,13,22,28,48
3,5,15,23,37,42
3,5,9,23,43,49
1,3,6,12,21,41
4,8,10,15,16,26
1,2,6,9,44,48
14,23,29,30,39,48
1,7,8,23,30,33
4,12,26,30,46,47
4,7,22,29,33,46
4,25,28,33,43,48
3,27,34,35,38,49
6,14,18,22,35,36
12,25,33,40,43,46
7,13,14,17,40,44
1,5,12,15,22,42
6,8,28,37,41,49
5,9,20,23,45,46
24,26,30,32,37,47
8,16,17,34,38,48
13,24,28,34,37,44
10,15,25,43,45,49
10,15,29,31,33,49
6,18,24,26,36,48
4,19,40,41,46,47
